step,id,x,y,time,money,start_work_time,end_work_time,day,order_count,total_order,dis,learn_type,stability,robustness,inv,utility
0,47,15,136,0,0,7,18,1,0,0,0,llm,0,0,0,0.5
1,47,15,136,1,0,7,18,1,0,0,0,llm,0,0,0,0.5
2,47,15,136,2,0,7,18,1,0,0,0,llm,0,0,0,0.5
3,47,15,136,3,0,7,18,1,0,0,0,llm,0,0,0,0.5
4,47,15,136,4,0,7,18,1,0,0,0,llm,0,0,0,0.5
5,47,15,136,5,0,7,18,1,0,0,0,llm,0,0,0,0.5
6,47,15,136,6,0,7,18,1,0,0,0,llm,0,0,0,0.5
7,47,15,136,7,0,7,18,1,0,0,0,llm,0,0,0,0.5
8,47,15,136,8,0,7,18,1,0,0,0,llm,0,0,0,0.5
9,47,15,136,9,0,7,18,1,0,0,0,llm,0,0,0,0.5
10,47,15,136,10,0,7,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
11,47,15,136,11,0,7,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
12,47,15,136,12,0,7,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
13,47,15,136,13,0,7,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
14,47,15,136,14,0,7,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
15,47,15,136,15,0,7,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
16,47,15,136,16,0,7,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
17,47,15,136,17,0,7,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
18,47,15,136,18,0,7,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
19,47,15,136,19,0,7,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
20,47,15,136,20,0,7,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
21,47,15,136,21,0,7,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
22,47,15,136,22,0,7,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
23,47,15,136,23,0,7,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
24,47,15,136,24,0,7,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
25,47,15,136,25,0,7,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
26,47,15,136,26,0,7,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
27,47,15,136,27,0,7,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
28,47,15,136,28,0,7,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
29,47,15,136,29,0,7,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
30,47,15,136,30,0,7,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
31,47,15,136,31,0,7,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
32,47,15,136,32,0,7,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
33,47,15,136,33,0,7,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
34,47,15,136,34,0,7,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
35,47,15,136,35,0,7,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
36,47,15,136,36,0,7,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
37,47,15,136,37,0,7,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
38,47,15,136,38,0,7,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
39,47,15,136,39,0,7,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
40,47,15,136,40,0,7,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
41,47,15,136,41,0,7,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
42,47,15,136,42,0,7,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
43,47,15,136,43,0,7,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
44,47,15,136,44,0,7,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
45,47,15,136,45,0,7,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
46,47,15,136,46,0,7,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
47,47,15,136,47,0,7,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
48,47,15,136,48,0,7,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
49,47,15,136,49,0,7,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
50,47,15,136,50,0,7,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
51,47,15,136,51,0,7,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
52,47,15,136,52,0,7,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
53,47,15,136,53,0,7,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
54,47,15,136,54,0,7,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
55,47,15,136,55,0,7,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
56,47,15,136,56,0,7,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
57,47,15,136,57,0,7,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
58,47,15,136,58,0,7,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
59,47,15,136,59,0,7,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
60,47,15,136,60,0,7,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
61,47,15,136,61,0,7,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
62,47,15,136,62,0,7,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
63,47,15,136,63,0,7,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
64,47,15,136,64,0,7,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
65,47,15,136,65,0,7,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
66,47,15,136,66,0,7,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
67,47,15,136,67,0,7,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
