step,id,x,y,time,money,start_work_time,end_work_time,day,order_count,total_order,dis,learn_type,stability,robustness,inv,utility
0,45,345,140,0,0,8,19,1,0,0,0,llm,0,0,0,0.5
1,45,345,140,1,0,8,19,1,0,0,0,llm,0,0,0,0.5
2,45,345,140,2,0,8,19,1,0,0,0,llm,0,0,0,0.5
3,45,345,140,3,0,8,19,1,0,0,0,llm,0,0,0,0.5
4,45,345,140,4,0,8,19,1,0,0,0,llm,0,0,0,0.5
5,45,345,140,5,0,8,19,1,0,0,0,llm,0,0,0,0.5
6,45,345,140,6,0,8,19,1,0,0,0,llm,0,0,0,0.5
7,45,345,140,7,0,8,19,1,0,0,0,llm,0,0,0,0.5
8,45,345,140,8,0,8,19,1,0,0,0,llm,0,0,0,0.5
9,45,345,140,9,0,8,19,1,0,0,0,llm,0,0,0,0.5
10,45,345,140,10,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
11,45,345,140,11,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
12,45,345,140,12,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
13,45,345,140,13,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
14,45,345,140,14,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
15,45,345,140,15,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
16,45,345,140,16,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
17,45,345,140,17,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
18,45,345,140,18,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
19,45,345,140,19,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
20,45,345,140,20,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
21,45,345,140,21,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
22,45,345,140,22,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
23,45,345,140,23,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
24,45,345,140,24,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
25,45,345,140,25,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
26,45,345,140,26,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
27,45,345,140,27,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
28,45,345,140,28,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
29,45,345,140,29,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
30,45,345,140,30,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
31,45,345,140,31,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
32,45,345,140,32,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
33,45,345,140,33,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
34,45,345,140,34,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
35,45,345,140,35,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
36,45,345,140,36,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
37,45,345,140,37,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
38,45,345,140,38,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
39,45,345,140,39,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
40,45,345,140,40,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
41,45,345,140,41,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
42,45,345,140,42,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
43,45,345,140,43,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
44,45,345,140,44,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
45,45,345,140,45,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
46,45,345,140,46,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
47,45,345,140,47,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
48,45,345,140,48,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
49,45,345,140,49,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
50,45,345,140,50,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
51,45,345,140,51,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
52,45,345,140,52,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
53,45,345,140,53,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
54,45,345,140,54,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
55,45,345,140,55,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
56,45,345,140,56,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
57,45,345,140,57,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
58,45,345,140,58,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
59,45,345,140,59,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
60,45,345,140,60,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
61,45,345,140,61,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
62,45,345,140,62,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
63,45,345,140,63,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
64,45,345,140,64,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
65,45,345,140,65,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
66,45,345,140,66,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
67,45,345,140,67,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
68,45,345,140,68,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
69,45,345,140,69,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
70,45,345,140,70,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
71,45,345,140,71,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
72,45,345,140,72,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
73,45,345,140,73,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
74,45,345,140,74,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
75,45,345,140,75,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
76,45,345,140,76,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
77,45,345,140,77,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
78,45,345,140,78,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
79,45,345,140,79,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
80,45,345,140,80,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
81,45,345,140,81,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
82,45,345,140,82,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
83,45,345,140,83,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
84,45,345,140,84,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
85,45,345,140,85,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
86,45,345,140,86,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
87,45,345,140,87,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
88,45,345,140,88,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
89,45,345,140,89,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
90,45,345,140,90,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
91,45,345,140,91,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
92,45,345,140,92,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
93,45,345,140,93,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
94,45,345,140,94,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
95,45,345,140,95,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
