step,id,x,y,time,money,start_work_time,end_work_time,day,order_count,total_order,dis,learn_type,stability,robustness,inv,utility
0,44,35,146,0,0,7,17,1,0,0,0,llm,0,0,0,0.5
1,44,35,146,1,0,7,17,1,0,0,0,llm,0,0,0,0.5
2,44,35,146,2,0,7,17,1,0,0,0,llm,0,0,0,0.5
3,44,35,146,3,0,7,17,1,0,0,0,llm,0,0,0,0.5
4,44,35,146,4,0,7,17,1,0,0,0,llm,0,0,0,0.5
5,44,35,146,5,0,7,17,1,0,0,0,llm,0,0,0,0.5
6,44,35,146,6,0,7,17,1,0,0,0,llm,0,0,0,0.5
7,44,35,146,7,0,7,17,1,0,0,0,llm,0,0,0,0.5
8,44,35,146,8,0,7,17,1,0,0,0,llm,0,0,0,0.5
9,44,35,146,9,0,7,17,1,0,0,0,llm,0,0,0,0.5
10,44,35,146,10,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
11,44,35,146,11,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
12,44,35,146,12,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
13,44,35,146,13,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
14,44,35,146,14,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
15,44,35,146,15,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
16,44,35,146,16,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
17,44,35,146,17,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
18,44,35,146,18,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
19,44,35,146,19,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
20,44,35,146,20,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
21,44,35,146,21,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
22,44,35,146,22,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
23,44,35,146,23,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
24,44,35,146,24,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
25,44,35,146,25,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
26,44,35,146,26,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
27,44,35,146,27,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
28,44,35,146,28,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
29,44,35,146,29,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
30,44,35,146,30,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
31,44,35,146,31,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
32,44,35,146,32,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
33,44,35,146,33,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
34,44,35,146,34,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
35,44,35,146,35,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
36,44,35,146,36,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
37,44,35,146,37,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
38,44,35,146,38,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
39,44,35,146,39,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
40,44,35,146,40,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
41,44,35,146,41,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
42,44,35,146,42,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
43,44,35,146,43,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
44,44,35,146,44,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
45,44,35,146,45,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
46,44,35,146,46,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
47,44,35,146,47,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
48,44,35,146,48,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
49,44,35,146,49,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
50,44,35,146,50,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
51,44,35,146,51,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
52,44,35,146,52,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
53,44,35,146,53,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
54,44,35,146,54,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
55,44,26,126,55,0,7,17,1,1,1,30,llm,1,0.0,0.0,1.5
56,44,26,96,56,0,7,17,1,1,1,60,llm,1,0.0,0.0,1.5
57,44,15,78,57,0,7,17,1,1,1,90,llm,1,0.0,0.0,1.5
58,44,15,48,58,0,7,17,1,1,1,120,llm,1,0.0,0.0,1.5
59,44,15,30,59,5,7,17,1,0,1,138,llm,0.9019065511335731,2.82842712474619,0.3982517681003927,5.00108283030307
60,44,15,30,60,5,7,17,1,0,1,138,llm,0.5313791959356055,2.82842712474619,0.7965035362007854,5.049032377929444
61,44,15,30,61,5,7,17,1,0,1,138,llm,0.4364518634342313,2.82842712474619,1.194755304301178,5.03246945578758
62,44,15,30,62,5,7,17,1,0,1,138,llm,0.396725340060764,2.8284271247461903,1.5930070724015708,5.056191221372542
63,44,15,30,63,5,7,17,1,0,1,138,llm,0.38198274481058037,2.82842712474619,1.9912588405019633,5.0902861226565
64,44,15,30,64,5,7,17,1,0,1,138,llm,0.38491995097300336,2.82842712474619,2.389510608602356,5.129371005497649
65,44,15,30,65,5,7,17,1,0,1,138,llm,0.4068599103589695,2.8284271247461903,2.787762376702749,5.177297967494146
66,44,15,30,66,5,7,17,1,0,1,138,llm,0.4598666692465688,2.8284271247461903,3.1860141448031416,5.248598353241401
67,44,15,30,67,5,7,17,1,0,1,138,llm,0.5963202340468319,2.8284271247461903,3.584265912903534,5.397739967691217
68,44,15,30,68,5,7,17,1,0,1,138,llm,1.851851851851851,2.8284271247461903,3.9825176810039267,5.810129513560312
69,44,15,30,69,5,7,17,1,0,1,138,llm,1,2.8284271247461903,4.38076944910432,5.816066107137632
70,44,15,30,70,5,7,17,1,0,1,138,llm,1,2.8284271247461903,4.779021217204712,5.820092946173624
71,44,15,30,71,5,7,17,1,0,1,138,llm,1,2.8284271247461903,5.1772729853051045,5.82281541869166
72,44,15,30,72,5,7,17,1,0,1,138,llm,1,2.8284271247461903,5.575524753405498,5.824651944227499
73,44,15,30,73,5,7,17,1,0,1,138,llm,1,2.8284271247461903,5.97377652150589,5.825888969906289
74,44,15,30,74,5,7,17,1,0,1,138,llm,1,2.8284271247461903,6.372028289606283,5.826721349397154
75,44,15,30,75,5,7,17,1,0,1,138,llm,1,2.8284271247461903,6.7702800577066755,5.827281066427703
76,44,15,30,76,5,7,17,1,0,1,138,llm,1,2.8284271247461903,7.168531825807068,5.8276572648265565
77,44,15,30,77,5,7,17,1,0,1,138,llm,1,2.8284271247461903,7.566783593907461,5.827910038467442
78,44,15,30,78,5,7,17,1,0,1,138,llm,1,2.8284271247461903,7.965035362007853,5.828079845966575
79,44,37,37,79,5,7,17,1,1,2,168,llm,1.1111111111111107,2.82842712474619,6.869842999731773,5.2815255592546855
80,44,67,37,80,5,7,17,1,1,2,198,llm,0.8333333333333329,2.8284271247461903,6.106527110872688,5.11367313328096
81,44,97,37,81,5,7,17,1,1,2,228,llm,0.7273929674533076,2.82842712474619,5.54408382434494,5.006060797514781
82,44,102,62,82,5,7,17,1,1,2,258,llm,0.6804138174397714,2.8284271247461903,5.112441302125972,4.956991613992197
83,44,123,71,83,5,7,17,1,1,2,288,llm,0.6666666666666664,2.82842712474619,4.770724305369288,4.940826757685802
84,44,153,71,84,5,7,17,1,1,2,318,llm,0.6804138174397714,2.82842712474619,4.493482213661034,4.951918946560012
85,44,164,52,85,5,7,17,1,1,2,348,llm,0.7273929674533076,2.8284271247461903,4.264040482592135,4.996085822800614
86,44,176,34,86,5,7,17,1,1,2,378,llm,0.8333333333333329,2.8284271247461903,4.071018073915124,5.099122605799747
87,44,200,40,87,5,7,17,1,1,2,408,llm,1.1111111111111105,2.82842712474619,3.906381313572968,5.262846531780522
88,44,200,70,88,5,7,17,1,1,2,438,llm,2251799813685248.0,2.82842712474619,3.7642975340996006,5.259904543351958
89,44,202,98,89,5,7,17,1,1,2,468,llm,2251799813685248.0,2.82842712474619,3.6404296237894855,5.256993040204228
90,44,229,101,90,5,7,17,1,1,2,498,llm,2251799813685248.0,2.82842712474619,3.5314855580950466,5.254133595815197
91,44,259,101,91,5,7,17,1,1,2,528,llm,2251799813685248.0,2.82842712474619,3.4349214998658852,5.251341393668309
92,44,289,101,92,5,7,17,1,1,2,558,llm,2251799813685248.0,2.82842712474619,3.3487406737043752,5.248626695091374
93,44,311,109,93,5,7,17,1,1,2,588,llm,2251799813685248.0,2.82842712474619,3.271353809396081,5.24599601801807
94,44,336,113,94,5,7,17,1,1,2,618,llm,2251799813685248.0,2.82842712474619,3.201480232884708,5.243453064722282
95,44,340,139,95,5,7,17,1,1,2,648,llm,2251799813685248.0,2.82842712474619,3.1380764319762404,5.240999442429533
96,44,370,139,96,5,7,17,1,1,2,678,llm,2251799813685248.0,2.82842712474619,3.0802835869003804,5.238635218015215
97,44,377,140,97,17,7,17,1,0,2,686,llm,0.24136645321004138,2.82842712474619,3.293722463679136,4.987239552953473
98,44,377,140,98,17,7,17,1,0,2,686,llm,0.17584217162038082,2.82842712474619,3.543083014940694,4.976158361208156
99,44,377,140,99,17,7,17,1,0,2,686,llm,0.15206108024485607,2.8284271247461903,3.7924435662022526,4.958444621984259
100,44,377,140,100,17,7,17,1,0,2,686,llm,0.1415837917281244,2.8284271247461903,4.041804117463811,4.952748392577891
101,44,377,140,101,17,7,17,1,0,2,686,llm,0.138337995691009,2.8284271247461903,4.29116466872537,4.953261005016188
102,44,377,140,102,17,7,17,1,0,2,686,llm,0.14092495335384747,2.82842712474619,4.540525219986929,4.958796876760488
103,44,377,140,103,17,7,17,1,0,2,686,llm,0.15044341528310473,2.8284271247461903,4.789885771248487,4.970625675981649
104,44,377,140,104,17,7,17,1,0,2,686,llm,0.17214886382569708,2.8284271247461903,5.039246322510046,4.99413906175861
105,44,377,140,105,17,7,17,1,0,2,686,llm,0.22920347471530858,2.82842712474619,5.288606873771604,5.052607172720043
106,44,377,140,106,17,7,17,1,0,2,686,llm,4.1666666666666625,2.8284271247461903,5.537967425033163,5.824508028577526
107,44,377,140,107,17,7,17,1,0,2,686,llm,1,2.8284271247461903,5.787327976294722,5.825370333266923
108,44,377,140,108,17,7,17,1,0,2,686,llm,1,2.8284271247461903,6.03668852755628,5.8260433621951
109,44,377,140,109,17,7,17,1,0,2,686,llm,1,2.8284271247461903,6.286049078817839,5.826568483274536
110,44,377,140,110,17,7,17,1,0,2,686,llm,1,2.8284271247461903,6.535409630079397,5.826978093008447
111,44,377,140,111,17,7,17,1,0,2,686,llm,1,2.8284271247461903,6.784770181340956,5.82729753459483
112,44,377,140,112,17,7,17,1,0,2,686,llm,1,2.8284271247461903,7.034130732602515,5.827546616820223
113,44,377,140,113,17,7,17,1,0,2,686,llm,1,2.8284271247461903,7.283491283864073,5.827740812477577
114,44,377,140,114,17,7,17,1,0,2,686,llm,1,2.8284271247461903,7.532851835125632,5.827892201294201
115,44,377,140,115,17,7,17,1,0,2,686,llm,1,2.8284271247461903,7.782212386387191,5.828010210243964
