step,id,x,y,time,money,start_work_time,end_work_time,day,order_count,total_order,dis,learn_type,stability,robustness,inv,utility
0,3,173,72,0,0,7,17,1,0,0,0,llm,0,0,0,0.5
1,3,173,72,1,0,7,17,1,0,0,0,llm,0,0,0,0.5
2,3,173,72,2,0,7,17,1,0,0,0,llm,0,0,0,0.5
3,3,173,72,3,0,7,17,1,0,0,0,llm,0,0,0,0.5
4,3,173,72,4,0,7,17,1,0,0,0,llm,0,0,0,0.5
5,3,173,72,5,0,7,17,1,0,0,0,llm,0,0,0,0.5
6,3,173,72,6,0,7,17,1,0,0,0,llm,0,0,0,0.5
7,3,173,72,7,0,7,17,1,0,0,0,llm,0,0,0,0.5
8,3,173,72,8,0,7,17,1,0,0,0,llm,0,0,0,0.5
9,3,173,72,9,0,7,17,1,0,0,0,llm,0,0,0,0.5
10,3,173,72,10,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
11,3,173,72,11,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
12,3,173,72,12,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
13,3,173,72,13,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
14,3,173,72,14,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
15,3,173,72,15,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
16,3,173,72,16,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
17,3,173,72,17,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
18,3,173,72,18,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
19,3,173,72,19,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
20,3,173,72,20,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
21,3,173,72,21,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
22,3,173,72,22,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
23,3,173,72,23,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
24,3,173,72,24,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
25,3,173,72,25,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
26,3,173,72,26,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
27,3,173,72,27,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
28,3,173,72,28,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
29,3,173,72,29,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
30,3,173,72,30,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
31,3,173,72,31,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
32,3,173,72,32,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
33,3,173,72,33,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
34,3,173,72,34,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
35,3,173,72,35,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
36,3,173,72,36,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
37,3,173,72,37,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
38,3,173,72,38,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
39,3,173,72,39,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
40,3,173,72,40,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
41,3,173,72,41,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
42,3,173,72,42,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
43,3,173,72,43,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
44,3,173,72,44,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
45,3,173,72,45,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
46,3,173,72,46,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
47,3,173,72,47,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
48,3,173,72,48,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
49,3,173,72,49,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
50,3,173,72,50,0,7,17,1,0,0,0,llm,1,0.0,1,1.7310585786300048
51,3,144,72,51,0,7,17,1,5,5,30,llm,1,0.0,0.0,1.5
52,3,114,72,52,0,7,17,1,5,5,60,llm,1,0.0,0.0,1.5
53,3,84,72,53,0,7,17,1,5,5,90,llm,1,0.0,0.0,1.5
54,3,54,72,54,0,7,17,1,5,5,120,llm,1,0.0,0.0,1.5
55,3,24,72,55,0,7,17,1,5,5,150,llm,1,0.0,0.0,1.5
56,3,15,51,56,0,7,17,1,5,5,180,llm,1,0.0,0.0,1.5
57,3,26,61,57,0,7,17,1,5,5,210,llm,1,0.0,0.0,1.5
58,3,26,91,58,0,7,17,1,5,5,240,llm,1,0.0,0.0,1.5
59,3,15,109,59,0,7,17,1,5,5,270,llm,1,0.0,0.0,1.5
60,3,15,134,60,10,7,17,1,4,5,300,llm,0.4654357586144746,2.8284271247461903,0.33872491327669046,4.582518823855436
61,3,15,104,61,10,7,17,1,4,5,330,llm,0.349076818960856,2.8284271247461903,0.6158634786848918,4.531556306060513
62,3,43,103,62,10,7,17,1,4,5,360,llm,0.3046992278557178,2.8284271247461903,0.8468122831917262,4.537799556069707
63,3,53,83,63,10,7,17,1,4,5,390,llm,0.2850200291626657,2.8284271247461903,1.0422305023898168,4.5575024921728495
64,3,71,71,64,10,7,17,1,4,5,420,llm,0.2792614551686848,2.82842712474619,1.2097318331310376,4.582715261065261
65,3,91,61,65,10,7,17,1,4,5,450,llm,0.2850200291626656,2.8284271247461903,1.354899653106762,4.613151845676472
66,3,106,71,66,21,7,17,1,3,5,480,llm,0.19538498279706507,2.82842712474619,1.709416012237149,4.7282676594159545
67,3,127,80,67,21,7,17,1,3,5,510,llm,0.17266713819592822,2.8284271247461903,2.0222245644110193,4.741900129796507
68,3,127,110,68,21,7,17,1,3,5,540,llm,0.1706252194318163,2.82842712474619,2.300276610787793,4.7656473182333965
69,3,127,140,69,21,7,17,1,3,5,570,llm,0.18693137846090352,2.8284271247461903,2.549060020703854,4.800563872690044
70,3,141,156,70,21,7,17,1,3,5,600,llm,0.18315459765772135,2.82842712474619,2.7729650896283085,4.8104740553568694
71,3,164,163,71,21,7,17,1,3,5,630,llm,0.18693137846090346,2.8284271247461903,2.975545866274244,4.82451059560967
72,3,194,163,72,21,7,17,1,3,5,660,llm,0.19983804943944994,2.8284271247461903,3.1597102086796394,4.845249833765149
73,3,196,135,73,21,7,17,1,3,5,690,llm,0.2289432470721518,2.8284271247461903,3.327860260441087,4.880437713069121
74,3,199,108,74,21,7,17,1,3,5,720,llm,0.3052576627628689,2.82842712474619,3.4819978078890816,4.961551005586693
75,3,228,107,75,21,7,17,1,3,5,750,llm,1,2.8284271247461903,3.6238043515412364,5.660134549018672
76,3,258,107,76,21,7,17,1,3,5,780,llm,1,2.8284271247461903,3.7547026995278405,5.663250120048664
77,3,286,109,77,21,7,17,1,3,5,810,llm,1,2.8284271247461903,3.875904873589511,5.6658078165885915
78,3,298,127,78,21,7,17,1,3,5,840,llm,1,2.8284271247461903,3.9884497495039195,5.6679307951191245
79,3,298,140,79,21,7,17,1,3,5,870,llm,1,2.8284271247461903,4.093232909838024,5.6697107763001595
80,3,298,110,80,21,7,17,1,3,5,900,llm,1,2.8284271247461903,4.191030526149855,5.671216994606446
81,3,318,100,81,21,7,17,1,3,5,930,llm,1,2.8284271247461903,4.282518618828664,5.672502371845194
82,3,348,100,82,21,7,17,1,3,5,960,llm,1,2.8284271247461903,4.368288705715048,5.673607837315566
83,3,378,100,83,21,7,17,1,3,5,990,llm,1,2.8284271247461903,4.4488606055174085,5.674565392845185
84,3,393,86,84,32,7,17,1,2,5,1020,llm,0.29849366314471204,2.8284271247461903,4.634175167178388,5.024273027215947
85,3,376,73,85,32,7,17,1,2,5,1050,llm,0.223870247358534,2.8284271247461903,4.808900325315883,4.951179442329618
86,3,357,63,86,32,7,17,1,2,5,1080,llm,0.19540997226075615,2.8284271247461903,4.973918530223517,4.923941504494115
87,3,366,84,87,32,7,17,1,2,5,1110,llm,0.18278929153968734,2.8284271247461903,5.130016832163171,4.9123076533961525
88,3,371,109,88,32,7,17,1,2,5,1140,llm,0.17909619788682724,2.82842712474619,5.277899434000738,4.909418992788715
89,3,393,117,89,32,7,17,1,2,5,1170,llm,0.18278929153968734,2.82842712474619,5.418198312667147,4.913773769009993
90,3,387,140,90,35,7,17,1,1,5,1200,llm,0.184880567150009,2.8284271247461903,5.578163734510297,4.9249172529038505
91,3,357,140,91,35,7,17,1,1,5,1230,llm,0.2022222357034477,2.82842712474619,5.730325965044025,4.9427886735177635
92,3,327,140,92,35,7,17,1,1,5,1260,llm,0.25382330003093334,2.8284271247461903,5.875242375076145,4.994825004194686
93,3,297,140,93,35,7,17,1,1,5,1290,llm,0.6375336339322848,2.8284271247461903,6.013418486967237,5.378895841856248
94,3,276,131,94,35,7,17,1,1,5,1320,llm,0.6246528387985668,2.82842712474619,6.145313866499643,5.366315874802753
95,3,270,107,95,35,7,17,1,1,5,1350,llm,0.6375336339322848,2.82842712474619,6.2713472291639425,5.379449471296482
96,3,240,107,96,35,7,17,1,1,5,1380,llm,0.6815521230627335,2.8284271247461903,6.3919008804080555,5.423681809398813
97,3,210,107,97,35,7,17,1,1,5,1410,llm,0.7808160484982085,2.82842712474619,6.507324589046036,5.523127759526676
98,3,196,123,98,35,7,17,1,1,5,1440,llm,1.0410880646642782,2.8284271247461903,6.617938976490766,5.742467555226824
99,3,196,153,99,35,7,17,1,1,5,1470,llm,1,2.8284271247461903,6.724038490978569,5.742601721083755
100,3,176,163,100,35,7,17,1,1,5,1500,llm,1,2.8284271247461903,6.82589402488686,5.742717825631746
101,3,146,163,101,35,7,17,1,1,5,1530,llm,1,2.8284271247461903,6.923755224132081,5.742818794419497
102,3,134,145,102,35,7,17,1,1,5,1560,llm,1,2.8284271247461903,7.017852531098639,5.742907008865922
103,3,111,138,103,35,7,17,1,1,5,1590,llm,1,2.8284271247461903,7.108398996292874,5.742984419257831
104,3,91,128,104,35,7,17,1,1,5,1620,llm,1,2.8284271247461903,7.195591888702138,5.743052632037845
105,3,91,98,105,35,7,17,1,1,5,1650,llm,1,2.8284271247461903,7.279614130478337,5.743112977704269
106,3,87,72,106,35,7,17,1,1,5,1680,llm,1,2.8284271247461903,7.360635577905387,5.743166563982176
107,3,77,71,107,45,7,17,1,0,5,1691,llm,0.27277260062695013,2.82842712474619,7.58342645680448,5.076658294155461
108,3,77,71,108,45,7,17,1,0,5,1691,llm,0.195541839839307,2.8284271247461903,7.854098466015198,5.023580957341553
109,3,77,71,109,45,7,17,1,0,5,1691,llm,0.1682696758130153,2.82842712474619,8.124770475225915,4.996400775528517
110,3,77,71,110,45,7,17,1,0,5,1691,llm,0.15630107862387524,2.8284271247461903,8.395442484436634,4.984502359887451
111,3,77,71,111,45,7,17,1,0,5,1691,llm,0.15249759087856454,2.82842712474619,8.666114493647353,4.9807524179321385
112,3,77,71,112,45,7,17,1,0,5,1691,llm,0.15519398162788137,2.8284271247461903,8.93678650285807,4.983489660836756
113,3,77,71,113,45,7,17,1,0,5,1691,llm,0.16554489762996574,2.82842712474619,9.207458512068788,4.9938717438313045
114,3,77,71,114,45,7,17,1,0,5,1691,llm,0.1892825872200812,2.82842712474619,9.478130521279505,5.017633210987681
115,3,77,71,115,45,7,17,1,0,5,1691,llm,0.2517021475598982,2.82842712474619,9.748802530490224,5.08007091120068
116,3,77,71,116,45,7,17,1,0,5,1691,llm,3.030303030303027,2.8284271247461903,10.019474539700942,5.828382602387969
117,3,77,71,117,45,7,17,1,0,5,1691,llm,140737488355328.0,2.82842712474619,10.29014654891166,5.828393159764502
118,3,77,71,118,45,7,17,1,0,5,1691,llm,140737488355328.0,2.82842712474619,10.560818558122378,5.828401213785067
119,3,77,71,119,45,7,17,1,0,5,1691,llm,140737488355328.0,2.82842712474619,10.831490567333097,5.828407358016144
120,3,77,71,120,45,6,18,2,0,5,1691,llm,140737488355328.0,2.82842712474619,11.102162576543813,5.828412045296007
121,3,77,71,121,45,6,18,2,0,5,1691,llm,140737488355328.0,2.82842712474619,11.372834585754532,5.82841562109513
122,3,77,71,122,45,6,18,2,0,5,1691,llm,140737488355328.0,2.82842712474619,11.64350659496525,5.828418348970289
123,3,77,71,123,45,6,18,2,0,5,1691,llm,140737488355328.0,2.82842712474619,11.914178604175968,5.828420429985332
124,3,77,71,124,45,6,18,2,0,5,1691,llm,140737488355328.0,2.82842712474619,12.184850613386688,5.828422017528169
125,3,77,71,125,45,6,18,2,0,5,1691,llm,140737488355328.0,2.82842712474619,12.455522622597407,5.8284232286150734
126,3,77,71,126,45,6,18,2,0,5,1691,llm,140737488355328.0,2.82842712474619,12.726194631808124,5.828424152514879
