step,id,x,y,time,money,start_work_time,end_work_time,day,order_count,total_order,dis,learn_type,stability,robustness,inv,utility
0,0,39,80,0,0,8,18,1,0,0,0,llm,0,0,0,0.5
1,0,39,80,1,0,8,18,1,0,0,0,llm,0,0,0,0.5
2,0,39,80,2,0,8,18,1,0,0,0,llm,0,0,0,0.5
3,0,39,80,3,0,8,18,1,0,0,0,llm,0,0,0,0.5
4,0,39,80,4,0,8,18,1,0,0,0,llm,0,0,0,0.5
5,0,39,80,5,0,8,18,1,0,0,0,llm,0,0,0,0.5
6,0,39,80,6,0,8,18,1,0,0,0,llm,0,0,0,0.5
7,0,39,80,7,0,8,18,1,0,0,0,llm,0,0,0,0.5
8,0,39,80,8,0,8,18,1,0,0,0,llm,0,0,0,0.5
9,0,39,80,9,0,8,18,1,0,0,0,llm,0,0,0,0.5
10,0,39,80,10,0,8,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
11,0,39,80,11,0,8,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
12,0,39,80,12,0,8,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
13,0,39,80,13,0,8,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
14,0,39,80,14,0,8,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
15,0,39,80,15,0,8,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
16,0,39,80,16,0,8,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
17,0,39,80,17,0,8,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
18,0,39,80,18,0,8,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
19,0,39,80,19,0,8,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
20,0,39,80,20,0,8,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
21,0,39,80,21,0,8,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
22,0,39,80,22,0,8,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
23,0,39,80,23,0,8,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
24,0,39,80,24,0,8,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
25,0,39,80,25,0,8,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
26,0,39,80,26,0,8,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
27,0,39,80,27,0,8,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
28,0,39,80,28,0,8,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
29,0,39,80,29,0,8,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
30,0,39,80,30,0,8,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
31,0,39,80,31,0,8,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
32,0,39,80,32,0,8,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
33,0,39,80,33,0,8,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
34,0,39,80,34,0,8,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
35,0,39,80,35,0,8,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
36,0,39,80,36,0,8,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
37,0,39,80,37,0,8,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
38,0,39,80,38,0,8,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
39,0,39,80,39,0,8,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
40,0,39,80,40,0,8,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
41,0,39,80,41,0,8,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
42,0,39,80,42,0,8,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
43,0,39,80,43,0,8,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
44,0,39,80,44,0,8,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
45,0,39,80,45,0,8,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
46,0,39,80,46,0,8,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
47,0,39,80,47,0,8,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
48,0,39,80,48,0,8,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
49,0,39,80,49,0,8,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
50,0,39,80,50,0,8,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
51,0,39,80,51,0,8,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
52,0,39,80,52,0,8,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
53,0,39,80,53,0,8,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
54,0,39,80,54,0,8,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
55,0,39,80,55,0,8,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
56,0,39,80,56,0,8,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
57,0,39,80,57,0,8,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
58,0,39,80,58,0,8,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
59,0,39,80,59,0,8,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
60,0,39,80,60,0,8,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
61,0,39,80,61,0,8,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
62,0,39,80,62,0,8,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
63,0,39,80,63,0,8,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
64,0,39,80,64,0,8,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
65,0,39,80,65,0,8,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
66,0,39,80,66,0,8,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
67,0,39,80,67,0,8,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
68,0,39,80,68,0,8,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
69,0,39,80,69,0,8,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
70,0,39,80,70,0,8,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
71,0,46,72,71,0,8,18,1,1,1,30,llm,1,0.0,0.0,1.5
72,0,64,71,72,0,8,18,1,1,1,60,llm,1,0.0,0.0,1.5
73,0,94,71,73,0,8,18,1,1,1,90,llm,1,0.0,0.0,1.5
74,0,124,71,74,0,8,18,1,1,1,120,llm,1,0.0,0.0,1.5
75,0,154,71,75,0,8,18,1,1,1,150,llm,1,0.0,0.0,1.5
76,0,173,60,76,0,8,18,1,1,1,180,llm,1,0.0,0.0,1.5
77,0,177,34,77,0,8,18,1,1,1,210,llm,1,0.0,0.0,1.5
78,0,196,45,78,0,8,18,1,1,1,240,llm,1,0.0,0.0,1.5
79,0,200,71,79,0,8,18,1,1,1,270,llm,1,0.0,0.0,1.5
80,0,203,98,80,0,8,18,1,1,1,300,llm,1,0.0,0.0,1.5
81,0,209,74,81,0,8,18,1,1,1,330,llm,1,0.0,0.0,1.5
82,0,212,99,82,0,8,18,1,1,1,360,llm,1,0.0,0.0,1.5
83,0,240,101,83,0,8,18,1,1,1,390,llm,1,0.0,0.0,1.5
84,0,270,101,84,0,8,18,1,1,1,420,llm,1,0.0,0.0,1.5
85,0,276,77,85,0,8,18,1,1,1,450,llm,1,0.0,0.0,1.5
