step,id,x,y,time,money,start_work_time,end_work_time,day,order_count,total_order,dis,learn_type,stability,robustness,inv,utility
0,25,342,131,0,0,7,19,1,0,0,0,llm,0,0,0,0.5
1,25,342,131,1,0,7,19,1,0,0,0,llm,0,0,0,0.5
2,25,342,131,2,0,7,19,1,0,0,0,llm,0,0,0,0.5
3,25,342,131,3,0,7,19,1,0,0,0,llm,0,0,0,0.5
4,25,342,131,4,0,7,19,1,0,0,0,llm,0,0,0,0.5
5,25,342,131,5,0,7,19,1,0,0,0,llm,0,0,0,0.5
6,25,342,131,6,0,7,19,1,0,0,0,llm,0,0,0,0.5
7,25,342,131,7,0,7,19,1,0,0,0,llm,0,0,0,0.5
8,25,342,131,8,0,7,19,1,0,0,0,llm,0,0,0,0.5
9,25,342,131,9,0,7,19,1,0,0,0,llm,0,0,0,0.5
10,25,342,131,10,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
11,25,342,131,11,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
12,25,342,131,12,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
13,25,342,131,13,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
14,25,342,131,14,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
15,25,342,131,15,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
16,25,342,131,16,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
17,25,342,131,17,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
18,25,342,131,18,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
19,25,342,131,19,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
20,25,342,131,20,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
21,25,342,131,21,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
22,25,342,131,22,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
23,25,342,131,23,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
24,25,342,131,24,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
25,25,342,131,25,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
26,25,342,131,26,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
27,25,342,131,27,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
28,25,342,131,28,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
29,25,342,131,29,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
