step,id,x,y,time,money,start_work_time,end_work_time,day,order_count,total_order,dis,learn_type,stability,robustness,inv,utility
0,45,388,140,0,0,7,19,1,0,0,0,llm,0,0,0,0.5
1,45,388,140,1,0,7,19,1,0,0,0,llm,0,0,0,0.5
2,45,388,140,2,0,7,19,1,0,0,0,llm,0,0,0,0.5
3,45,388,140,3,0,7,19,1,0,0,0,llm,0,0,0,0.5
4,45,388,140,4,0,7,19,1,0,0,0,llm,0,0,0,0.5
5,45,388,140,5,0,7,19,1,0,0,0,llm,0,0,0,0.5
6,45,388,140,6,0,7,19,1,0,0,0,llm,0,0,0,0.5
7,45,388,140,7,0,7,19,1,0,0,0,llm,0,0,0,0.5
8,45,388,140,8,0,7,19,1,0,0,0,llm,0,0,0,0.5
9,45,388,140,9,0,7,19,1,0,0,0,llm,0,0,0,0.5
10,45,388,140,10,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
11,45,388,140,11,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
12,45,388,140,12,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
13,45,388,140,13,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
14,45,388,140,14,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
15,45,388,140,15,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
16,45,388,140,16,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
17,45,388,140,17,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
18,45,388,140,18,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
19,45,388,140,19,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
20,45,388,140,20,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
21,45,388,140,21,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
22,45,388,140,22,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
23,45,388,140,23,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
24,45,388,140,24,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
25,45,388,140,25,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
26,45,388,140,26,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
27,45,388,140,27,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
28,45,388,140,28,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
29,45,388,140,29,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
30,45,388,140,30,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
31,45,388,140,31,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
32,45,388,140,32,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
33,45,388,140,33,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
34,45,388,140,34,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
35,45,388,140,35,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
36,45,388,140,36,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
37,45,388,140,37,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
38,45,388,140,38,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
39,45,388,140,39,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
40,45,388,140,40,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
41,45,388,140,41,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
42,45,388,140,42,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
43,45,388,140,43,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
44,45,388,140,44,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
45,45,388,140,45,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
46,45,388,140,46,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
47,45,388,140,47,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
48,45,388,140,48,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
49,45,388,140,49,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
