order_id,order_money,rider,finish_time
3,7.771259293250681,35,55
51,5.556660482368227,9,57
45,10.942265430820113,43,58
5,7.456848892829196,36,58
0,10.12885856544094,35,58
32,11.31192691542864,21,58
59,5.007394476517799,4,60
2,5.037317050015346,10,60
34,6.625083058226681,21,61
26,4.900823744581787,21,62
25,10.01239781950918,23,62
57,7.611556027606672,16,63
31,10.955209915756186,21,63
24,4.27455137369761,23,67
47,3.179720633759605,18,67
50,3.270182975040914,2,67
49,4.994304252370612,33,68
38,3.880991026717894,37,70
56,4.144255012287106,27,71
35,11.589117248987039,42,71
41,3.9080624195655584,43,71
54,11.28972571661493,45,72
55,10.050356687174515,13,75
48,3.8858199134663822,43,75
64,11.733107367093426,20,76
16,11.199952955535338,36,76
60,11.290932441180884,0,76
58,11.178954240152711,48,76
69,5.05793497206992,12,76
1,4.855226854579466,36,77
39,7.12347382640205,42,77
71,10.75109033213929,40,77
4,11.59418767179352,35,78
28,4.6082085989281065,43,78
46,10.04287032563667,43,78
63,5.937917066500495,20,79
17,10.715955720782533,36,79
15,6.157341492355787,36,79
29,3.5789424295117707,21,79
23,11.144269550067971,10,80
74,10.726599626179691,16,81
19,10.610943927095995,10,82
6,10.638743911037883,35,82
14,4.719617037767753,23,82
42,6.73304116114399,37,83
9,11.477274770486119,35,84
22,5.666060407534828,23,84
52,10.000136213667652,41,84
27,10.36676037639414,23,85
21,10.372890866791339,10,85
44,3.7154885918639757,22,85
18,3.370162522592733,22,85
36,3.437285093796752,37,86
65,11.498278462980847,33,86
66,7.718742679492301,26,87
8,3.494538387097759,22,88
20,5.27199038454377,10,88
7,7.052953944619606,11,89
10,6.747541892568755,11,89
11,11.317038346915641,11,89
61,11.85956741549878,25,91
53,10.751287233345916,45,91
81,10.979759641444472,46,92
77,3.5464900511422623,6,92
62,11.320243841577156,25,93
84,10.921324261516059,34,94
43,6.676625324840977,37,94
30,7.012429903763138,42,95
12,11.58021504263912,11,95
13,11.3000182513698,11,96
72,5.252390238013074,3,96
33,5.3068078142134745,42,96
76,4.153013440931186,13,98
37,6.191883907748451,42,99
89,11.454140026397218,49,99
91,3.9935721784792086,41,99
79,3.127921978773591,28,100
78,11.81029551705066,0,101
67,10.973047815344726,7,102
82,11.238927789692085,37,102
80,3.520422718012232,4,102
73,10.608353826068344,5,103
83,3.5175327151991165,32,104
68,10.86214171203349,41,105
86,3.8782132460400276,8,108
75,6.42694129333165,27,109
88,5.428979496500702,39,109
70,11.02541583477964,14,109
40,4.9613512264149895,37,110
93,5.013747470040087,31,113
90,7.525796436437999,7,114
85,6.986269072301526,21,123
92,4.46294418365317,27,124
87,11.14542949088788,35,125
125,6.910583126066934,26,156
107,4.997089969376104,33,157
104,7.035874485142498,33,158
160,3.801662283326319,48,161
130,10.464157558239219,26,161
122,6.534919102222745,19,162
109,10.2614475259519,9,163
136,7.947621930456755,36,168
170,4.497911717224037,24,171
163,10.433084224374067,14,171
159,10.440997460263734,45,172
95,6.522133289094835,33,173
175,11.844444082865081,28,173
147,10.321212400098256,23,173
99,11.672469900358891,43,174
100,11.602585780746397,43,174
156,10.001723500014325,3,176
132,11.857545125302297,26,176
144,10.092545209781484,23,176
127,11.484499475854815,19,176
126,4.7408042817576685,13,176
117,10.773067830835945,2,177
96,11.975299865804153,9,177
180,7.428721747747858,13,177
135,11.85170612531029,37,177
108,3.997699166402438,33,177
184,10.392551964941205,49,177
161,5.387315619595772,12,178
131,11.75480470640776,26,178
168,4.619149718316018,44,179
112,11.431887469378127,9,179
128,7.911133345855893,19,179
123,10.494738835339424,19,180
154,7.578593876457743,3,180
167,3.622837680819331,46,180
164,3.0832998697508143,1,180
97,10.757286277762827,33,180
146,11.239982817124606,23,180
101,5.851274656070107,9,180
129,11.963047863419295,26,181
111,5.081075893125682,19,182
166,4.261258156574611,30,184
138,3.09839953705504,42,185
121,11.33308094808207,10,185
172,10.458368830752743,7,185
148,10.420636150931635,23,186
178,11.957024833172905,9,186
102,10.579122199387667,43,187
120,5.656307696938556,36,187
153,3.892920015903411,13,187
133,4.830917748828198,36,188
98,7.758706839469858,10,188
119,10.355427823381705,10,188
155,4.6106996529001085,42,188
115,11.635513889538718,2,189
103,10.468708532622712,43,189
162,7.522021346756302,15,190
177,3.550915911803493,18,190
169,10.862950432493346,24,191
179,11.685162967266727,6,191
173,11.5912611622478,40,191
116,11.42254236707534,2,192
165,10.01420506813221,35,192
110,5.977219134276735,36,192
94,11.495274368248332,43,192
182,4.371546169929976,0,193
181,3.359967064861826,0,193
187,10.29081666928992,12,193
196,3.6045323281589763,34,193
