step,id,x,y,time,money,start_work_time,end_work_time,day,order_count,total_order,dis,learn_type,stability,robustness,inv,utility
0,25,393,87,0,0,8,19,1,0,0,0,llm,0,0,0,0.5
1,25,393,87,1,0,8,19,1,0,0,0,llm,0,0,0,0.5
2,25,393,87,2,0,8,19,1,0,0,0,llm,0,0,0,0.5
3,25,393,87,3,0,8,19,1,0,0,0,llm,0,0,0,0.5
4,25,393,87,4,0,8,19,1,0,0,0,llm,0,0,0,0.5
5,25,393,87,5,0,8,19,1,0,0,0,llm,0,0,0,0.5
6,25,393,87,6,0,8,19,1,0,0,0,llm,0,0,0,0.5
7,25,393,87,7,0,8,19,1,0,0,0,llm,0,0,0,0.5
8,25,393,87,8,0,8,19,1,0,0,0,llm,0,0,0,0.5
9,25,393,87,9,0,8,19,1,0,0,0,llm,0,0,0,0.5
10,25,393,87,10,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
11,25,393,87,11,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
12,25,393,87,12,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
13,25,393,87,13,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
14,25,393,87,14,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
15,25,393,87,15,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
16,25,393,87,16,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
17,25,393,87,17,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
18,25,393,87,18,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
19,25,393,87,19,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
20,25,393,87,20,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
21,25,393,87,21,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
22,25,393,87,22,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
23,25,393,87,23,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
24,25,393,87,24,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
25,25,393,87,25,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
26,25,393,87,26,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
27,25,393,87,27,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
28,25,393,87,28,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
29,25,393,87,29,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
30,25,393,87,30,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
31,25,393,87,31,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
32,25,393,87,32,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
33,25,393,87,33,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
34,25,393,87,34,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
35,25,393,87,35,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
36,25,393,87,36,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
37,25,393,87,37,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
38,25,393,87,38,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
39,25,393,87,39,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
40,25,393,87,40,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
41,25,393,87,41,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
42,25,393,87,42,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
43,25,393,87,43,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
44,25,393,87,44,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
45,25,393,87,45,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
46,25,393,87,46,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
47,25,393,87,47,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
48,25,393,87,48,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
49,25,393,87,49,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
50,25,393,87,50,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
51,25,393,87,51,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
52,25,393,87,52,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
53,25,393,87,53,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
54,25,393,87,54,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
55,25,393,87,55,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
56,25,393,87,56,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
57,25,393,87,57,0,8,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
58,25,378,73,58,0,8,19,1,2,2,30,llm,1,0.0,0.0,1.5
59,25,348,73,59,0,8,19,1,2,2,60,llm,1,0.0,0.0,1.5
60,25,318,73,60,0,8,19,1,2,2,90,llm,1,0.0,0.0,1.5
61,25,288,73,61,0,8,19,1,2,2,120,llm,1,0.0,0.0,1.5
62,25,276,91,62,0,8,19,1,2,2,150,llm,1,0.0,0.0,1.5
63,25,256,101,63,0,8,19,1,2,2,180,llm,1,0.0,0.0,1.5
64,25,226,101,64,0,8,19,1,2,2,210,llm,1,0.0,0.0,1.5
65,25,210,87,65,0,8,19,1,2,2,240,llm,1,0.0,0.0,1.5
66,25,200,89,66,0,8,19,1,2,2,270,llm,1,0.0,0.0,1.5
67,25,196,63,67,0,8,19,1,2,2,300,llm,1,0.0,0.0,1.5
68,25,195,34,68,0,8,19,1,2,2,330,llm,1,0.0,0.0,1.5
69,25,173,42,69,0,8,19,1,2,2,360,llm,1,0.0,0.0,1.5
70,25,169,68,70,0,8,19,1,2,2,390,llm,1,0.0,0.0,1.5
71,25,142,71,71,0,8,19,1,2,2,420,llm,1,0.0,0.0,1.5
72,25,112,71,72,0,8,19,1,2,2,450,llm,1,0.0,0.0,1.5
73,25,82,71,73,0,8,19,1,2,2,480,llm,1,0.0,0.0,1.5
74,25,53,70,74,0,8,19,1,2,2,510,llm,1,0.0,0.0,1.5
75,25,53,83,75,0,8,19,1,2,2,540,llm,1,0.0,0.0,1.5
76,25,43,103,76,0,8,19,1,2,2,570,llm,1,0.0,0.0,1.5
77,25,64,103,77,0,8,19,1,2,2,600,llm,1,0.0,0.0,1.5
78,25,94,103,78,0,8,19,1,2,2,630,llm,1,0.0,0.0,1.5
79,25,102,81,79,0,8,19,1,2,2,660,llm,1,0.0,0.0,1.5
80,25,131,80,80,0,8,19,1,2,2,690,llm,1,0.0,0.0,1.5
81,25,151,80,81,0,8,19,1,2,2,720,llm,1,0.0,0.0,1.5
82,25,173,82,82,0,8,19,1,2,2,750,llm,1,0.0,0.0,1.5
83,25,173,52,83,0,8,19,1,2,2,780,llm,1,0.0,0.0,1.5
84,25,185,34,84,0,8,19,1,2,2,810,llm,1,0.0,0.0,1.5
85,25,196,53,85,0,8,19,1,2,2,840,llm,1,0.0,0.0,1.5
86,25,196,83,86,0,8,19,1,2,2,870,llm,1,0.0,0.0,1.5
87,25,211,98,87,0,8,19,1,2,2,900,llm,1,0.0,0.0,1.5
88,25,238,101,88,0,8,19,1,2,2,930,llm,1,0.0,0.0,1.5
89,25,268,101,89,0,8,19,1,2,2,960,llm,1,0.0,0.0,1.5
90,25,297,100,90,0,8,19,1,2,2,990,llm,1,0.0,0.0,1.5
91,25,299,97,91,11,8,19,1,1,2,1020,llm,0.3762410936116425,2.8284271247461903,0.11627026877939979,4.480742760611504
92,25,326,100,92,11,8,19,1,1,2,1050,llm,0.28218082020873186,2.8284271247461903,0.22589652219997675,4.4138828193754085
93,25,336,119,93,23,8,19,1,0,2,1079,llm,0.15359866424023877,2.82842712474619,0.43465195633061626,4.463900882496743
94,25,336,119,94,23,8,19,1,0,2,1079,llm,0.11693913193848703,2.8284271247461903,0.6494787520403098,4.6022592477103315
95,25,336,119,95,23,8,19,1,0,2,1079,llm,0.10362693719814195,2.82842712474619,0.8643055477500033,4.635613482986609
96,25,336,119,96,23,8,19,1,0,2,1079,llm,0.09883491966984896,2.82842712474619,1.0791323434596969,4.673591796694476
97,25,336,119,97,23,8,19,1,0,2,1079,llm,0.09956561360641678,2.82842712474619,1.2939591391693905,4.712809299007397
98,25,336,119,98,23,8,19,1,0,2,1079,llm,0.10622001404026027,2.8284271247461903,1.508785934879084,4.753528351548008
99,25,336,119,99,23,8,19,1,0,2,1079,llm,0.12342657155705442,2.8284271247461903,1.7236127305887774,4.800447290125719
100,25,336,119,100,23,8,19,1,0,2,1079,llm,0.17703454273130276,2.8284271247461903,1.9384395262984708,4.879642276413753
101,25,336,119,101,23,8,19,1,0,2,1079,llm,0.23323669630321253,2.8284271247461903,2.153266322008164,4.957637429142829
102,25,336,119,102,23,8,19,1,0,2,1079,llm,1.1494252873563213,2.8284271247461903,2.3680931177178577,5.742788785945666
103,25,336,119,103,23,8,19,1,0,2,1079,llm,281474976710656.0,2.82842712474619,2.582919913427551,5.758181336713765
104,25,336,119,104,23,8,19,1,0,2,1079,llm,281474976710656.0,2.82842712474619,2.7977467091372445,5.770981063731023
105,25,336,119,105,23,8,19,1,0,2,1079,llm,281474976710656.0,2.82842712474619,3.0125735048469378,5.781566059072832
106,25,336,119,106,23,8,19,1,0,2,1079,llm,281474976710656.0,2.82842712474619,3.2274003005566314,5.7902796032017205
107,25,336,119,107,23,8,19,1,0,2,1079,llm,281474976710656.0,2.82842712474619,3.442227096266325,5.797425613414216
108,25,336,119,108,23,8,19,1,0,2,1079,llm,281474976710656.0,2.82842712474619,3.6570538919760183,5.8032680069379605
109,25,336,119,109,23,8,19,1,0,2,1079,llm,281474976710656.0,2.82842712474619,3.871880687685712,5.808032544926542
110,25,336,119,110,23,8,19,1,0,2,1079,llm,281474976710656.0,2.82842712474619,4.086707483395405,5.811910080634396
111,25,336,119,111,23,8,19,1,0,2,1079,llm,281474976710656.0,2.82842712474619,4.301534279105098,5.81506045610731
112,25,336,119,112,23,8,19,1,0,2,1079,llm,281474976710656.0,2.82842712474619,4.516361074814792,5.817616550295926
113,25,336,119,113,23,8,19,1,0,2,1079,llm,281474976710656.0,2.82842712474619,4.731187870524486,5.819688174705019
114,25,336,119,114,23,8,19,1,0,2,1079,llm,281474976710656.0,2.82842712474619,4.946014666234179,5.821365648804252
115,25,336,119,115,23,8,19,1,0,2,1079,llm,281474976710656.0,2.82842712474619,5.160841461943872,5.8227229783979055
116,25,336,119,116,23,8,19,1,0,2,1079,llm,281474976710656.0,2.82842712474619,5.375668257653566,5.823820617734628
117,25,336,119,117,23,8,19,1,0,2,1079,llm,281474976710656.0,2.82842712474619,5.590495053363259,5.824707830255143
118,25,336,119,118,23,8,19,1,0,2,1079,llm,281474976710656.0,2.82842712474619,5.805321849072953,5.825424681207603
119,25,336,119,119,23,8,19,1,0,2,1079,llm,281474976710656.0,2.82842712474619,6.020148644782646,5.826003703519731
120,25,336,119,120,23,8,19,2,0,2,1079,llm,281474976710656.0,2.82842712474619,6.23497544049234,5.826471280227931
121,25,336,119,121,23,8,19,2,0,2,1079,llm,281474976710656.0,2.82842712474619,6.449802236202033,5.826848785070714
122,25,336,119,122,23,8,19,2,0,2,1079,llm,281474976710656.0,2.82842712474619,6.664629031911726,5.827153519277633
123,25,336,119,123,23,8,19,2,0,2,1079,llm,281474976710656.0,2.82842712474619,6.8794558276214195,5.827399478204952
124,25,336,119,124,23,8,19,2,0,2,1079,llm,281474976710656.0,2.82842712474619,7.094282623331114,5.827597976932468
125,25,336,119,125,23,8,19,2,0,2,1079,llm,281474976710656.0,2.82842712474619,7.309109419040807,5.827758159607006
126,25,336,119,126,23,8,19,2,0,2,1079,llm,281474976710656.0,2.82842712474619,7.5239362147505,5.827887413381862
127,25,336,119,127,23,8,19,2,0,2,1079,llm,281474976710656.0,2.82842712474619,7.738763010460193,5.82799170433265
128,25,336,119,128,23,8,19,2,0,2,1079,llm,281474976710656.0,2.82842712474619,7.953589806169887,5.828075849738257
129,25,336,119,129,23,8,19,2,0,2,1079,llm,281474976710656.0,2.82842712474619,8.16841660187958,5.828143738575065
130,25,336,119,130,23,8,19,2,0,2,1079,llm,281474976710656.0,2.82842712474619,8.383243397589274,5.828198509939729
131,25,336,119,131,23,8,19,2,0,2,1079,llm,281474976710656.0,2.82842712474619,8.598070193298968,5.82824269734063
132,25,336,119,132,23,8,19,2,0,2,1079,llm,281474976710656.0,2.82842712474619,8.81289698900866,5.828278345330342
133,25,336,119,133,23,8,19,2,0,2,1079,llm,281474976710656.0,2.82842712474619,9.027723784718354,5.8283071037440815
134,25,336,119,134,23,8,19,2,0,2,1079,llm,281474976710656.0,2.82842712474619,9.242550580428048,5.828330303819868
135,25,336,119,135,23,8,19,2,0,2,1079,llm,281474976710656.0,2.82842712474619,9.45737737613774,5.828349019668209
136,25,336,119,136,23,8,19,2,0,2,1079,llm,281474976710656.0,2.82842712474619,9.672204171847435,5.828364117900811
137,25,336,119,137,23,8,19,2,0,2,1079,llm,281474976710656.0,2.82842712474619,9.887030967557129,5.828376297692689
138,25,336,119,138,23,8,19,2,0,2,1079,llm,281474976710656.0,2.82842712474619,10.101857763266823,5.828386123117411
139,25,336,119,139,23,8,19,2,0,2,1079,llm,281474976710656.0,2.82842712474619,10.316684558976515,5.828394049243018
140,25,336,119,140,23,8,19,2,0,2,1079,llm,281474976710656.0,2.82842712474619,10.53151135468621,5.828400443190692
141,25,336,119,141,23,8,19,2,0,2,1079,llm,281474976710656.0,2.82842712474619,10.746338150395903,5.828405601127332
142,25,336,119,142,23,8,19,2,0,2,1079,llm,281474976710656.0,2.82842712474619,10.961164946105596,5.82840976197636
143,25,336,119,143,23,8,19,2,0,2,1079,llm,281474976710656.0,2.82842712474619,11.17599174181529,5.828413118480066
144,25,336,119,144,23,8,19,2,0,2,1079,llm,281474976710656.0,2.82842712474619,11.390818537524982,5.8284158261247505
145,25,336,119,145,23,8,19,2,0,2,1079,llm,281474976710656.0,2.82842712474619,11.605645333234676,5.828418010341361
146,25,336,119,146,23,8,19,2,0,2,1079,llm,281474976710656.0,2.82842712474619,11.82047212894437,5.828419772314677
147,25,336,119,147,23,8,19,2,0,2,1079,llm,281474976710656.0,2.82842712474619,12.035298924654063,5.828421193669861
148,25,336,119,148,23,8,19,2,0,2,1079,llm,281474976710656.0,2.82842712474619,12.250125720363757,5.828422340253238
149,25,336,119,149,23,8,19,2,0,2,1079,llm,281474976710656.0,2.82842712474619,12.464952516073451,5.82842326518235
150,25,336,119,150,23,8,19,2,0,2,1079,llm,281474976710656.0,2.82842712474619,12.679779311783143,5.828424011306475
151,25,336,119,151,23,8,19,2,0,2,1079,llm,281474976710656.0,2.82842712474619,12.894606107492837,5.828424613191553
152,25,336,119,152,23,8,19,2,0,2,1079,llm,281474976710656.0,2.82842712474619,13.10943290320253,5.828425098721426
153,25,336,119,153,23,8,19,2,0,2,1079,llm,281474976710656.0,2.82842712474619,13.324259698912224,5.828425490389566
154,25,336,119,154,23,8,19,2,0,2,1079,llm,281474976710656.0,2.82842712474619,13.539086494621918,5.8284258063410945
155,25,336,119,155,23,8,19,2,0,2,1079,llm,281474976710656.0,2.82842712474619,13.75391329033161,5.828426061213382
156,25,336,119,156,23,8,19,2,0,2,1079,llm,281474976710656.0,2.82842712474619,13.968740086041304,5.828426266814146
157,25,336,119,157,23,8,19,2,0,2,1079,llm,281474976710656.0,2.82842712474619,14.183566881750998,5.8284264326684685
158,25,336,119,158,23,8,19,2,0,2,1079,llm,281474976710656.0,2.82842712474619,14.39839367746069,5.828426566460064
159,25,336,119,159,23,8,19,2,0,2,1079,llm,281474976710656.0,2.82842712474619,14.613220473170385,5.828426674387248
160,25,336,119,160,23,8,19,2,0,2,1079,llm,281474976710656.0,2.82842712474619,14.828047268880077,5.82842676145009
161,25,336,119,161,23,8,19,2,0,2,1079,llm,281474976710656.0,2.82842712474619,15.042874064589771,5.828426831682053
162,25,336,119,162,23,8,19,2,0,2,1079,llm,281474976710656.0,2.82842712474619,15.257700860299465,5.828426888336862
163,25,336,119,163,23,8,19,2,0,2,1079,llm,281474976710656.0,2.82842712474619,15.472527656009158,5.828426934039234
164,25,336,119,164,23,8,19,2,0,2,1079,llm,281474976710656.0,2.82842712474619,15.687354451718852,5.828426970906477
