step,id,x,y,time,money,start_work_time,end_work_time,day,order_count,total_order,dis,learn_type,stability,robustness,inv,utility
0,18,15,47,0,0,7,19,1,0,0,0,llm,0,0,0,0.5
1,18,15,47,1,0,7,19,1,0,0,0,llm,0,0,0,0.5
2,18,15,47,2,0,7,19,1,0,0,0,llm,0,0,0,0.5
3,18,15,47,3,0,7,19,1,0,0,0,llm,0,0,0,0.5
4,18,15,47,4,0,7,19,1,0,0,0,llm,0,0,0,0.5
5,18,15,47,5,0,7,19,1,0,0,0,llm,0,0,0,0.5
6,18,15,47,6,0,7,19,1,0,0,0,llm,0,0,0,0.5
7,18,15,47,7,0,7,19,1,0,0,0,llm,0,0,0,0.5
8,18,15,47,8,0,7,19,1,0,0,0,llm,0,0,0,0.5
9,18,15,47,9,0,7,19,1,0,0,0,llm,0,0,0,0.5
10,18,15,47,10,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
11,18,15,47,11,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
12,18,15,47,12,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
13,18,15,47,13,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
14,18,15,47,14,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
15,18,15,47,15,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
16,18,15,47,16,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
17,18,15,47,17,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
18,18,15,47,18,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
19,18,15,47,19,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
20,18,15,47,20,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
21,18,15,47,21,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
22,18,15,47,22,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
23,18,15,47,23,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
24,18,15,47,24,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
25,18,15,47,25,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
26,18,15,47,26,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
27,18,15,47,27,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
28,18,15,47,28,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
29,18,15,47,29,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
30,18,15,47,30,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
31,18,15,47,31,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
32,18,15,47,32,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
33,18,15,47,33,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
34,18,15,47,34,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
35,18,15,47,35,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
36,18,15,47,36,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
37,18,15,47,37,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
38,18,15,47,38,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
39,18,15,47,39,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
40,18,15,47,40,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
41,18,15,47,41,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
42,18,15,47,42,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
43,18,15,47,43,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
44,18,15,47,44,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
45,18,15,47,45,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
46,18,15,47,46,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
47,18,15,47,47,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
48,18,15,47,48,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
49,18,15,47,49,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
50,18,15,47,50,0,7,19,1,0,0,0,llm,1,0.0,1,1.7310585786300048
51,18,44,47,51,0,7,19,1,1,1,30,llm,1,0.0,0.0,1.5
52,18,54,66,52,0,7,19,1,1,1,60,llm,1,0.0,0.0,1.5
53,18,79,71,53,0,7,19,1,1,1,90,llm,1,0.0,0.0,1.5
54,18,109,71,54,0,7,19,1,1,1,120,llm,1,0.0,0.0,1.5
55,18,139,71,55,0,7,19,1,1,1,150,llm,1,0.0,0.0,1.5
56,18,169,71,56,0,7,19,1,1,1,180,llm,1,0.0,0.0,1.5
57,18,173,45,57,0,7,19,1,1,1,210,llm,1,0.0,0.0,1.5
58,18,192,34,58,0,7,19,1,1,1,240,llm,1,0.0,0.0,1.5
59,18,200,56,59,0,7,19,1,1,1,270,llm,1,0.0,0.0,1.5
60,18,200,86,60,0,7,19,1,1,1,300,llm,1,0.0,0.0,1.5
61,18,215,101,61,0,7,19,1,1,1,330,llm,1,0.0,0.0,1.5
62,18,245,101,62,0,7,19,1,1,1,360,llm,1,0.0,0.0,1.5
63,18,275,101,63,0,7,19,1,1,1,390,llm,1,0.0,0.0,1.5
64,18,305,101,64,0,7,19,1,1,1,420,llm,1,0.0,0.0,1.5
65,18,335,101,65,0,7,19,1,1,1,450,llm,1,0.0,0.0,1.5
66,18,357,109,66,0,7,19,1,1,1,480,llm,1,0.0,0.0,1.5
67,18,358,110,67,3,7,19,1,0,1,482,llm,1.118673104977484,2.8284271247461903,0.06596930775434863,5.282014865670909
68,18,358,110,68,3,7,19,1,0,1,482,llm,0.8112275527681005,2.8284271247461903,0.13193861550869726,5.172591565356522
69,18,358,110,69,3,7,19,1,0,1,482,llm,0.7005180946414685,2.8284271247461903,0.1979079232630459,5.0782613392331255
70,18,358,110,70,3,7,19,1,0,1,482,llm,0.651796271849853,2.8284271247461903,0.2638772310173945,5.045812557670859
71,18,358,110,71,3,7,19,1,0,1,482,llm,0.6365861928896617,2.8284271247461903,0.3298465387717432,5.0467353545284634
72,18,358,110,72,3,7,19,1,0,1,482,llm,0.6483026021478168,2.8284271247461903,0.3958158465260918,5.074411685361103
73,18,358,110,73,3,7,19,1,0,1,482,llm,0.6919339564202098,2.8284271247461903,0.4617851542804405,5.133798659988214
74,18,358,110,74,3,7,19,1,0,1,482,llm,0.7915937161990989,2.82842712474619,0.527754462034789,5.248980064727905
75,18,358,110,75,3,7,19,1,0,1,482,llm,1.053602616091108,2.8284271247461903,0.5937237697891378,5.472646219268604
76,18,358,110,76,3,7,19,1,0,1,482,llm,16.66666666666665,2.8284271247461903,0.6596930775434864,5.487618563955404
77,18,358,110,77,3,7,19,1,0,1,482,llm,1,2.8284271247461903,0.725662385297835,5.5022798168502325
78,18,358,110,78,3,7,19,1,0,1,482,llm,1,2.8284271247461903,0.7916316930521836,5.5166087040448915
79,18,358,110,79,3,7,19,1,0,1,482,llm,1,2.8284271247461903,0.8576010008065323,5.530586315843777
80,18,358,110,80,3,7,19,1,0,1,482,llm,1,2.8284271247461903,0.9235703085608811,5.5441961465516645
81,18,358,110,81,3,7,19,1,0,1,482,llm,1,2.8284271247461903,0.9895396163152298,5.557424103107501
82,18,358,110,82,3,7,19,1,0,1,482,llm,1,2.8284271247461903,1.0555089240695785,5.570258484585768
83,18,358,110,83,3,7,19,1,0,1,482,llm,1,2.8284271247461903,1.1214782318239271,5.582689935060263
84,18,358,110,84,3,7,19,1,0,1,482,llm,1,2.8284271247461903,1.1874475395782758,5.594711372684863
85,18,358,110,85,3,7,19,1,0,1,482,llm,1,2.8284271247461903,1.2534168473326246,5.606317898091545
86,18,358,110,86,3,7,19,1,0,1,482,llm,1,2.8284271247461903,1.3193861550869732,5.617506685342343
87,18,358,110,87,3,7,19,1,0,1,482,llm,1,2.8284271247461903,1.385355462841322,5.6282768587073
88,18,358,110,88,3,7,19,1,0,1,482,llm,1,2.8284271247461903,1.4513247705956704,5.638629358486167
89,18,358,110,89,3,7,19,1,0,1,482,llm,1,2.8284271247461903,1.517294078350019,5.6485667989609905
90,18,358,110,90,3,7,19,1,0,1,482,llm,1,2.8284271247461903,1.5832633861043677,5.658093321373979
91,18,358,110,91,3,7,19,1,0,1,482,llm,1,2.8284271247461903,1.649232693858716,5.667214444584923
92,18,358,110,92,3,7,19,1,0,1,482,llm,1,2.8284271247461903,1.7152020016130647,5.675936915788902
93,18,358,110,93,3,7,19,1,0,1,482,llm,1,2.8284271247461903,1.7811713093674133,5.684268563381311
94,18,358,110,94,3,7,19,1,0,1,482,llm,1,2.8284271247461903,1.847140617121762,5.692218153754931
95,18,358,110,95,3,7,19,1,0,1,482,llm,1,2.8284271247461903,1.9131099248761103,5.699795253513075
96,18,358,110,96,3,7,19,1,0,1,482,llm,1,2.8284271247461903,1.979079232630459,5.707010098291968
97,18,358,110,97,3,7,19,1,0,1,482,llm,1,2.8284271247461903,2.0450485403848075,5.713873469110985
98,18,358,110,98,3,7,19,1,0,1,482,llm,1,2.8284271247461903,2.111017848139156,5.720396576916109
99,18,358,110,99,3,7,19,1,0,1,482,llm,1,2.8284271247461903,2.1769871558935048,5.726590955753028
100,18,358,110,100,3,7,19,1,0,1,482,llm,1,2.8284271247461903,2.242956463647853,5.732468364803822
101,18,358,110,101,3,7,19,1,0,1,482,llm,1,2.8284271247461903,2.3089257714022016,5.738040699345602
102,18,358,110,102,3,7,19,1,0,1,482,llm,1,2.8284271247461903,2.37489507915655,5.743319910540722
103,18,358,110,103,3,7,19,1,0,1,482,llm,1,2.8284271247461903,2.440864386910899,5.748317933845138
