step,id,x,y,time,money,start_work_time,end_work_time,day,order_count,total_order,dis,learn_type,stability,robustness,inv,utility
0,39,387,110,0,0,8,18,1,0,0,0,llm,0,0,0,0.5
1,39,387,110,1,0,8,18,1,0,0,0,llm,0,0,0,0.5
2,39,387,110,2,0,8,18,1,0,0,0,llm,0,0,0,0.5
3,39,387,110,3,0,8,18,1,0,0,0,llm,0,0,0,0.5
4,39,387,110,4,0,8,18,1,0,0,0,llm,0,0,0,0.5
5,39,387,110,5,0,8,18,1,0,0,0,llm,0,0,0,0.5
6,39,387,110,6,0,8,18,1,0,0,0,llm,0,0,0,0.5
7,39,387,110,7,0,8,18,1,0,0,0,llm,0,0,0,0.5
8,39,387,110,8,0,8,18,1,0,0,0,llm,0,0,0,0.5
9,39,387,110,9,0,8,18,1,0,0,0,llm,0,0,0,0.5
10,39,387,110,10,0,8,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
11,39,387,110,11,0,8,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
12,39,387,110,12,0,8,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
13,39,387,110,13,0,8,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
14,39,387,110,14,0,8,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
15,39,387,110,15,0,8,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
16,39,387,110,16,0,8,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
17,39,387,110,17,0,8,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
18,39,387,110,18,0,8,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
19,39,387,110,19,0,8,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
20,39,387,110,20,0,8,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
21,39,387,110,21,0,8,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
22,39,387,110,22,0,8,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
23,39,387,110,23,0,8,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
24,39,387,110,24,0,8,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
25,39,387,110,25,0,8,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
26,39,387,110,26,0,8,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
27,39,387,110,27,0,8,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
28,39,387,110,28,0,8,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
29,39,387,110,29,0,8,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
30,39,387,110,30,0,8,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
31,39,387,110,31,0,8,18,1,0,0,0,llm,1,0.0,1,1.7310585786300048
